ICAO  Decription            FRQ      Phone no.          Name
 BVP  BVP AWOS              127.700  0132668680127700  Bolovip             
 CGC  CGC AWOS              127.700  0132677167127700  Cape Gloucester     
CJE3  CTAF/UNICOM           122.800  0167746951122800  Weyburn             
CJY3  CTAF                  122.800  0167748951122800  Tisdale             
 CPN  CAPE RODNEY TWR       132.300  0132678078132300  Cape Rodney         
 CPN  CAPE RODNEY GND       121.900  0132678078121900  Cape Rodney         
 CPN  CPR ATIS              120.800  0132678078120800  Cape Rodney         
 CVB  CVB AWOS              127.700  0132678666127700  Chungribu           
CYBW  ATIS                  127.900  0167896687127900  Calgary Springbank  
CYBW  GND                   121.800  0167896687121800  Calgary Springbank  
CYBW  TWR                   120.700  0167896687120700  Calgary Springbank  
CYEN  CTAF                  123.000  0167896978123000  Estevan             
CYFC  MF                    119.000  0167897067119000  FREDERICTON         
CYHU  ATIS                  124.900  0167897285124900  St Hubert           
CYHU  GND                   126.400  0167897285126400  St Hubert           
CYHU  TWR                   118.400  0167897285118400  St Hubert           
CYLW  TWR                   119.600  0167897687119600  Kelowna             
CYLW  ATIS                  127.500  0167897687127500  Kelowna             
CYLW  GND                   121.700  0167897687121700  Kelowna             
CYMJ  ARR                   129.100  0167897774129100  Moose Jaw Air Vice Marshal C M McEwen
CYMJ  CLNC DEL              135.300  0167897774135300  Moose Jaw Air Vice Marshal C M McEwen
CYMJ  GND                   121.800  0167897774121800  Moose Jaw Air Vice Marshal C M McEwen
CYMJ  TWR                   126.200  0167897774126200  Moose Jaw Air Vice Marshal C M McEwen
CYMJ  ARR                   134.100  0167897774134100  Moose Jaw Air Vice Marshal C M McEwen
CYMJ  DEP                   119.000  0167897774119000  Moose Jaw Air Vice Marshal C M McEwen
CYMJ  ARR                   136.500  0167897774136500  Moose Jaw Air Vice Marshal C M McEwen
CYMX  ATIS                  125.700  0167897788125700  Montreal Mirabel Intl
CYMX  DEP                   124.650  0167897788124650  Montreal Mirabel Intl
CYMX  MIRABEL GND           121.800  0167897788121800  Montreal Mirabel Intl
CYMX  VFR ADVSY             134.150  0167897788134150  Montreal Mirabel Intl
CYMX  MIRABEL TWR           119.100  0167897788119100  Montreal Mirabel Intl
CYOW  TWR                   120.100  0167897987120100  Ottawa Macdonald Cartier Intl
CYOW  TRML                  135.150  0167897987135150  Ottawa Macdonald Cartier Intl
CYOW  ATIS                  121.150  0167897987121150  Ottawa Macdonald Cartier Intl
CYOW  GND                   121.900  0167897987121900  Ottawa Macdonald Cartier Intl
CYOW  CLNC DEL              119.400  0167897987119400  Ottawa Macdonald Cartier Intl
CYQB  TRML CON              127.850  0167898166127850  Quebec Jean Lesage Intl
CYQB  TWR                   120.300  0167898166120300  Quebec Jean Lesage Intl
CYQB  TRML CON              124.000  0167898166124000  Quebec Jean Lesage Intl
CYQB  ATIS                  134.600  0167898166134600  Quebec Jean Lesage Intl
CYQB  GND                   121.900  0167898166121900  Quebec Jean Lesage Intl
CYQB  TWR                   118.650  0167898166118650  Quebec Jean Lesage Intl
CYQG  DETROIT  APP/DEP      134.300  0167898171134300  Windsor             
CYQG  MF                    124.700  0167898171124700  Windsor             
CYQG  DETROIT  APP/DEP      126.850  0167898171126850  Windsor             
CYQG  ATIS                  134.500  0167898171134500  Windsor             
CYQG  GND                   121.700  0167898171121700  Windsor             
CYQR  DEP                   120.100  0167898182120100  Regina Intl         
CYQR  GND                   121.900  0167898182121900  Regina Intl         
CYQR  TWR                   118.600  0167898182118600  Regina Intl         
CYQR  ATIS                  127.000  0167898182127000  Regina Intl         
CYQV  MF EDMONTON RDO       122.200  0167898186122200  Yorkton Muni        
CYSJ  MF                    118.500  0167898374118500  Saint John          
CYUL  MONTREAL TRML DEP     124.650  0167898576124650  Montreal Pierre E Trudeau Intl
CYUL  MONTREAL TWR          119.900  0167898576119900  Montreal Pierre E Trudeau Intl
CYUL  ATIS                  133.700  0167898576133700  Montreal Pierre E Trudeau Intl
CYUL  MONTREAL VFR ADVSY    134.150  0167898576134150  Montreal Pierre E Trudeau Intl
CYUL  MONTREAL CLNC DEL     125.600  0167898576125600  Montreal Pierre E Trudeau Intl
CYUL  MONTREAL GND          121.900  0167898576121900  Montreal Pierre E Trudeau Intl
CYVR  CLNC DEL              121.400  0167898682121400  Vancouver Intl      
CYVR  ATIS                  124.750  0167898682124750  Vancouver Intl      
CYVR  APP                   133.100  0167898682133100  Vancouver Intl      
CYVR  GND                   127.150  0167898682127150  Vancouver Intl      
CYVR  TWR                   125.650  0167898682125650  Vancouver Intl      
CYVR  DEP                   132.300  0167898682132300  Vancouver Intl      
CYXE  ATIS                  128.400  0167898869128400  Saskatoon J G Diefenbaker Intl
CYXE  APP/DEP               119.900  0167898869119900  Saskatoon J G Diefenbaker Intl
CYXE  GND                   121.900  0167898869121900  Saskatoon J G Diefenbaker Intl
CYXE  MF SASKATOON RDO      118.300  0167898869118300  Saskatoon J G Diefenbaker Intl
CYXT  MANDATORY FREQ RDO    122.000  0167898884122000  Terrace             
CYXX  ATIS                  119.800  0167898888119800  Abbotsford          
CYXX  GND                   121.800  0167898888121800  Abbotsford          
CYXX  TWR                   121.000  0167898888121000  Abbotsford          
CYXX  VICTORIA TRML         132.700  0167898888132700  Abbotsford          
CYXX  MF                    119.400  0167898888119400  Abbotsford          
CYYJ  ATIS                  118.800  0167898974118800  Victoria Intl       
CYYJ  CLNC DEL              126.400  0167898974126400  Victoria Intl       
CYYJ  TWR                   119.700  0167898974119700  Victoria Intl       
CYYJ  GND                   121.900  0167898974121900  Victoria Intl       
CYYJ  APP/DEP               133.850  0167898974133850  Victoria Intl       
CYYZ  VFR ADVSY             133.400  0167898990133400  Lester B Pearson Intl
CYYZ  GND                   119.100  0167898990119100  Lester B Pearson Intl
CYYZ  APP                   124.470  0167898990124470  Lester B Pearson Intl
CYYZ  DEP                   128.800  0167898990128800  Lester B Pearson Intl
CYYZ  APP                   125.400  0167898990125400  Lester B Pearson Intl
CYYZ  TWR                   118.700  0167898990118700  Lester B Pearson Intl
CYYZ  DEP                   127.570  0167898990127570  Lester B Pearson Intl
CYYZ  GND                   121.900  0167898990121900  Lester B Pearson Intl
CYYZ  TWR                   118.350  0167898990118350  Lester B Pearson Intl
CYYZ  ATIS                  120.820  0167898990120820  Lester B Pearson Intl
CYYZ  APP                   132.800  0167898990132800  Lester B Pearson Intl
CYYZ  GND                   121.650  0167898990121650  Lester B Pearson Intl
CYYZ  GND                   118.000  0167898990118000  Lester B Pearson Intl
CYYZ  CLNC DEL              121.300  0167898990121300  Lester B Pearson Intl
CYYZ  VFR ADVSY             119.300  0167898990119300  Lester B Pearson Intl
CYYZ  ATIS                  112.150  0167898990112150  Lester B Pearson Intl
DAAG  ALGER GND             121.800  0168656571121800  Alger Houari Boumediene
DAAG  ALGER APP             121.400  0168656571121400  Alger Houari Boumediene
DAAG  ALGER TWR             118.700  0168656571118700  Alger Houari Boumediene
DAAG  ALGER APP             119.700  0168656571119700  Alger Houari Boumediene
DAAT  TWR                   119.700  0168656584119700  TAMANRASSET         
DAAT  TWR                   118.100  0168656584118100  TAMANRASSET         
DAUG  GHARDAIA TWR          118.900  0168658571118900  NOUMERAT            
DAUG  GHARDAIA TWR          119.700  0168658571119700  NOUMERAT            
DAUZ  TWR                   118.700  0168658590118700  IN AMENAS           
DAUZ  TWR                   119.700  0168658590119700  IN AMENAS           
DIAP  INFO                  129.100  0168736580129100  Abidjan Felix Houphouet Boigny Intl
DIAP  ATIS                  126.600  0168736580126600  Abidjan Felix Houphouet Boigny Intl
DIAP  TWR                   118.100  0168736580118100  Abidjan Felix Houphouet Boigny Intl
DNMM  LAGOS WEST            120.900  0168787777120900  Lagos Murtala Muhammed
DNMM  APP                   124.700  0168787777124700  Lagos Murtala Muhammed
 DOI  DOI AWOS              127.700  0132687973127700  Doini               
 DPU  DPU AWOS              127.700  0132688085127700  Dumpu               
DTMB  MONASTIR ATIS         113.100  0168847766113100  Monastir Habib Bourguiba Intl
DTMB  BOURGUIBA APP         119.300  0168847766119300  Monastir Habib Bourguiba Intl
DTMB  BOURGUIBA TWR         118.300  0168847766118300  Monastir Habib Bourguiba Intl
DTTA  TUNIS APP             121.200  0168848465121200  CARTHAGE            
DTTA  TUNIS ATIS            118.670  0168848465118670  CARTHAGE            
DTTA  TUNIS TWR             118.100  0168848465118100  CARTHAGE            
DTTA  TUNIS APP             119.500  0168848465119500  CARTHAGE            
DTTA  TUNIS GND             121.900  0168848465121900  CARTHAGE            
DTTJ  DJERBA AIRPORT TWR    118.150  0168848474118150  Djerba Zarzis       
DTTJ  DJERBA APP            120.300  0168848474120300  Djerba Zarzis       
 E16  CTAF/UNICOM           122.700  0132694954122700  South Co Arpt Of Santa Clara Co
 E16  NORCAL APP/DEP        120.100  0132694954120100  South Co Arpt Of Santa Clara Co
 E16  NORCAL APP/DEP        124.520  0132694954124520  South Co Arpt Of Santa Clara Co
EBAW  ANTWERPEN GND         121.800  0169666587121800  Anvers Deurne       
EBAW  ANTWERPEN TWR         135.200  0169666587135200  Anvers Deurne       
EBAW  BRUSSELS APP          118.250  0169666587118250  Anvers Deurne       
EBBE  TWR                   130.720  0169666669130720  Beauvechain         
EBBE  GND                   130.370  0169666669130370  Beauvechain         
EBBE  APP                   122.500  0169666669122500  Beauvechain         
EBBE  TWR                   122.100  0169666669122100  Beauvechain         
EBBE  GCA                   123.300  0169666669123300  Beauvechain         
EBBE  APP                   122.820  0169666669122820  Beauvechain         
EBBR  GND                   118.050  0169666682118050  Brussels National   
EBBR  GND                   121.870  0169666682121870  Brussels National   
EBBR  DEP                   126.620  0169666682126620  Brussels National   
EBBR  APP                   122.500  0169666682122500  Brussels National   
EBBR  ATIS DEP              121.750  0169666682121750  Brussels National   
EBBR  ABELAG UNICOM         130.550  0169666682130550  Brussels National   
EBBR  ATIS ARR              132.470  0169666682132470  Brussels National   
EBBR  GND                   121.700  0169666682121700  Brussels National   
EBBR  APP                   120.100  0169666682120100  Brussels National   
EBBR  CLNC DEL              121.950  0169666682121950  Brussels National   
EBBR  TWR                   120.770  0169666682120770  Brussels National   
EBBR  APP                   118.250  0169666682118250  Brussels National   
EBBR  TWR                   118.600  0169666682118600  Brussels National   
EBBT  Brasschaat Approach   122.500  0169666684122500  Brasschaat          
EBBT  Brasschaat Tower      122.900  0169666684122900  Brasschaat          
EBCI  CHARLEROI TWR         121.300  0169666773121300  Brussels South - Charleroi
EBCI  CHARLEROI GND         121.800  0169666773121800  Brussels South - Charleroi
EBCI  CHARLEROI APP         119.700  0169666773119700  Brussels South - Charleroi
EBCI  ATIS                  134.620  0169666773134620  Brussels South - Charleroi
EBCI  ATIS                  115.700  0169666773115700  Brussels South - Charleroi
EBCI  CHARLEROI APP         133.120  0169666773133120  Brussels South - Charleroi
