File generated by gen_phonebook.pl - 2013-09-05 15:54:57 UTC
8952 airports and 3146 navaids are present in this file (38 freq skipped) 

ICAO  Decription            FRQ      Phone no.          Name
 0R3  LAFAYETTE APP/DEP     121.100  0132488251121100  ABBEVILLE CHRIS CRUSTA MEM
 0R4  UNICOM                122.800  0132488252122800  CONCORDIA PARISH    
 0R5  CTAF/UNICOM           122.700  0132488253122700  DAVID G JOYCE       
 0R5  POLK APP/DEP          132.050  0132488253132050  DAVID G JOYCE       
 0R6  CTAF                  122.900  0132488254122900  HAMPTON MUNI        
 0S0  CTAF                  122.900  0132488348122900  LIND                
 0S7  CTAF                  122.900  0132488355122900  DOROTHY SCOTT       
 0S9  CTAF/UNICOM           123.000  0132488357123000  JEFFERSON CO INTL   
0TE4  CTAF/UNICOM           122.800  0148846952122800  HILLTOP LAKES       
0TE7  UNICOM                122.800  0148846955122800  JOHNSON CITY        
0TX1  UNICOM                123.050  0148848849123050  PECAN PLANTATION    
 0V3  CTAF/UNICOM           122.700  0132488651122700  PIONEER VILLAGE FLD 
 0V4  ROANOKE APP/DEP       135.000  0132488652135000  BROOKNEAL CAMPBELL CO
 0V4  CTAF/UNICOM           122.700  0132488652122700  BROOKNEAL CAMPBELL CO
 0V6  CTAF                  122.900  0132488654122900  MISSION SIOUX       
 0V7  CTAF                  122.900  0132488655122900  KAYENTA             
 0VG  CTAF                  122.900  0132488671122900  LEE CO              
 0W3  CTAF/UNICOM           122.800  0132488751122800  HARFORD CO          
 0W3  POTOMAC APP/DEP       126.750  0132488751126750  HARFORD CO          
0XA4  UNICOM                122.750  0148886552122750  SEVEN C RANCH       
 10C  CHICAGO APP/DEP       120.550  0132494867120550  GALT FLD            
 10C  CTAF/UNICOM           122.800  0132494867122800  GALT FLD            
 10G  CTAF/UNICOM           123.000  0132494871123000  HOLMES CO           
 10G  AWOS 3                128.325  0132494871128325  HOLMES CO           
 10U  CTAF                  122.900  0132494885122900  OWYHEE              
 11A  CAIRNS APP/DEP        121.100  0132494965121100  CLAYTON MUNI        
 11A  AWOS 3                118.775  0132494965118775  CLAYTON MUNI        
 11A  CTAF                  122.900  0132494965122900  CLAYTON MUNI        
11II  CTAF                  126.200  0149497373126200  ATTERBURY FLD       
 11R  CTAF/UNICOM           123.075  0132494982123075  BRENHAM MUNI        
 11R  AWOS 3                121.125  0132494982121125  BRENHAM MUNI        
 11S  CATF/UNICOM           122.900  0132494983122900  Sekiu               
 11V  CTAF                  122.900  0132494986122900  EASTON VALLEY VIEW  
 12D  CTAF                  122.900  0132495068122900  TOWER MUNI          
 12G  CTAF/UNICOM           122.800  0132495071122800  SHELBY COMMUNITY    
 12G  MANSFIELD APP/DEP     124.200  0132495071124200  SHELBY COMMUNITY    
 12J  AWOS 3                119.325  0132495074119325  BREWTON MUNI        
 12J  CTAF/UNICOM           122.725  0132495074122725  BREWTON MUNI        
 12K  CTAF/UNICOM           123.000  0132495075123000  SUPERIOR MUNI       
 12N  CTAF/UNICOM           122.800  0132495078122800  AEROFLEX ANDOVER    
 12N  NEW YORK APP/DEP      127.600  0132495078127600  AEROFLEX ANDOVER    
12NC  CHERRY POINT APP      119.750  0149507867119750  ATLANTIC MCOLF      
12OK  UNICOM                123.000  0149507975123000  EXPRESSWAY AIRPARK  
 12V  CTAF/UNICOM           122.800  0132495086122800  ONA AIRPARK         
 12V  HUNTINGTON DEP        119.750  0132495086119750  ONA AIRPARK         
 12V  CHARLESTON APP        124.100  0132495086124100  ONA AIRPARK         
 12Y  CTAF                  122.900  0132495089122900  LE SUEUR MUNI       
 13C  CTAF/UNICOM           122.800  0132495167122800  LAKEVIEW ARPT GRIFFITH FLD
 13C  GRAND RAPIDS APP/DEP  124.600  0132495167124600  LAKEVIEW ARPT GRIFFITH FLD
 13K  CTAF/UNICOM           122.800  0132495175122800  EUREKA MUNI         
13NC  CHERRY POINT APP      119.350  0149517867119350  OAK GROVE MCOLF     
 14A  CTAF/UNICOM           122.800  0132495265122800  Lake Norman Airpark 
 14F  CTAF                  122.900  0132495270122900  HAMLIN MUNI         
 14G  CTAF/UNICOM           122.800  0132495271122800  FREMONT             
 14G  TOLEDO APP/DEP        126.100  0132495271126100  FREMONT             
 14J  CTAF                  122.900  0132495274122900  CARL FOLSOM         
 14M  CTAF                  122.700  0132495277122700  HOLLANDALE MUNI     
14NC  CHERRY POINT APP      119.350  0149527867119350  CAMP DAVIS MCOLF    
 14Y  CTAF                  122.900  0132495289122900  TODD FLD            
15AR  RDO CTL               122.725  0149536582122725  DAWSON              
 15F  CTAF                  122.900  0132495370122900  HASKELL MUNI        
15FL  UNICOM                123.000  0149537076123000  CANNON CREEK AIRPARK
 15J  CTAF/UNICOM           122.800  0132495374122800  COOK CO             
 15J  VALDOSTA APP/DEP      126.600  0132495374126600  COOK CO             
 15J  VALDOSTA APP/DEP      119.525  0132495374119525  COOK CO             
 15M  CTAF                  122.900  0132495377122900  IUKA                
 16D  MINNEAPOLIS APP/DEP   126.100  0132495468126100  PERHAM MUNI         
 16D  CTAF                  122.900  0132495468122900  PERHAM MUNI         
 16G  CTAF/UNICOM           123.000  0132495471123000  SENECA CO           
 16G  TOLEDO APP/DEP        120.800  0132495471120800  SENECA CO           
 16J  CTAF/UNICOM           122.800  0132495474122800  DAWSON MUNI         
 16J  JACKSONVILLE APP/DEP  125.750  0132495474125750  DAWSON MUNI         
 17G  CTAF/UNICOM           122.800  0132495571122800  PORT BUCYRUS CRAWFORD CO
 17G  MANSFIELD APP/DEP     124.200  0132495571124200  PORT BUCYRUS CRAWFORD CO
 17J  CAIRNS APP/DEP        125.400  0132495574125400  DONALSONVILLE MUNI  
 17J  MARIANNA ASOS         133.525  0132495574133525  DONALSONVILLE MUNI  
 17J  CTAF                  122.900  0132495574122900  DONALSONVILLE MUNI  
 17K  CTAF                  122.900  0132495575122900  BOISE CITY          
 17M  CTAF/UNICOM           122.800  0132495577122800  MAGEE MUNI          
 17N  CTAF/UNICOM           122.800  0132495578122800  CROSS KEYS          
 17N  PHILY APP/DEP         127.350  0132495578127350  CROSS KEYS          
 17V  CTAF                  122.900  0132495586122900  HAXTUN MUNI         
 18A  ATLANTA APP/DEP       127.500  0132495665127500  FRANKLIN CO         
 18A  CTAF                  122.900  0132495665122900  FRANKLIN CO         
18AZ  UNICOM                122.975  0149566590122975  SKY RANCH AT CAREFREE
 18I  CTAF                  122.900  0132495673122900  MCCREARY CO         
18TE  UNICOM                122.800  0149568469122800  ALERT FLD           
 18V  CTAF                  122.900  0132495686122900  PLATTE VALLEY AIRPARK
 19A  CTAF/UNICOM           122.800  0132495765122800  JACKSON CO          
 19A  ATLANTA APP/DEP       127.500  0132495765127500  JACKSON CO          
 19A  ATLANTA APP/DEP       132.475  0132495765132475  JACKSON CO          
 19M  CTAF                  122.900  0132495777122900  C A MOORE           
 19N  CTAF/UNICOM           123.000  0132495778123000  CAMDEN CO           
